,date,entry,sent_tokenized,t2e_paragraph,t2e_sent_list
0,2011-03-29,"Tomorrow we are going to Florida! We are going to see the Kennedy Space Center! After that, we are going to the Wizarding World of Harry Potter!! I’m excited  to go on the Flight of the Hippogriff and taste some chocolate frogs!","['Tomorrow we are going to Florida!', 'We are going to see the Kennedy Space Center!', 'After that, we are going to the Wizarding World of Harry Potter!!', 'I’m excited  to go on the Flight of the Hippogriff and taste some chocolate frogs!']","{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.57}","[{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.0}]"
1,2011-04-12,"I can finally say that I’ve gone to NASA. We saw moon rockets and tried astronaut ice cream! Who cares about that though?! The really cool thing I saw was Hogwarts! I saw a wand demonstration, went to the forbidden forest, drank butter beer, and got tons of candy from Honeydukes. I had so much fun on my vacation and I’m so glad that I get to bring Dorothy my pink pigmepuff back home with me!","['I can finally say that I’ve gone to NASA.', 'We saw moon rockets and tried astronaut ice cream!', 'Who cares about that though?!', 'The really cool thing I saw was Hogwarts!', 'I saw a wand demonstration, went to the forbidden forest, drank butter beer, and got tons of candy from Honeydukes.', 'I had so much fun on my vacation and I’m so glad that I get to bring Dorothy my pink pigmepuff back home with me!']","{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.29, 'Fear': 0.29}","[{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}]"
2,2011-04-19,"Today we switched desks and now I sit next to Ross and Sydney. I taught my friends pig latin! Ross is disgusting and revolting. His desk is highly disorganized and smells of old food. At recess, me and Ashley kept drawing and coloring for the book we are in the middle of writing. Ashley is so good at art! At gym, we played with a parachute and made a dome. I had one heck of a day!","['Today we switched desks and now I sit next to Ross and Sydney.', 'I taught my friends pig latin!', 'Ross is disgusting and revolting.', 'His desk is highly disorganized and smells of old food.', 'At recess, me and Ashley kept drawing and coloring for the book we are in the middle of writing.', 'Ashley is so good at art!', 'At gym, we played with a parachute and made a dome.', 'I had one heck of a day!']","{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.25}","[{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}]"
3,2011-04-21,"Today I learned long division. I got a 100% only Midwest Capital test and on my spelling test. In music class I perfected “When the Saints go Marching In” on the recorder. At orchestra,  Mr. Turini said I did great. I’m finally getting the hang of playing the viola I think. I got King Arthur and the Legends of Camelot from the library today and I can’t wait to read it. You could say I’ve had a very busy day.","['Today I learned long division.', 'I got a 100% only Midwest Capital test and on my spelling test.', 'In music class I perfected “When the Saints go Marching In” on the recorder.', 'At orchestra,  Mr. Turini said I did great.', 'I’m finally getting the hang of playing the viola I think.', 'I got King Arthur and the Legends of Camelot from the library today and I can’t wait to read it.', 'You could say I’ve had a very busy day.']","{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.08, 'Fear': 0.38}","[{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}]"
4,2011-04-28,I don’t feel like writing today.,['I don’t feel like writing today.'],"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}","[{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}]"
5,2011-05-10,"Today I got a nosebleed. I played kickball and my team actually won! We went on a field trip to the library to learn about the Summer Book Club. Did you know that the Southwest only has four states in its whole entire region? It was 84 degrees today, but I didn’t go outside because I had rehearsal for the musical.  I had a great lunch. In computer class, we went outside to the courtyard to take pictures of flowers. It was really fun. I had a great day!","['Today I got a nosebleed.', 'I played kickball and my team actually won!', 'We went on a field trip to the library to learn about the Summer Book Club.', 'Did you know that the Southwest only has four states in its whole entire region?', 'It was 84 degrees today, but I didn’t go outside because I had rehearsal for the musical.', 'I had a great lunch.', 'In computer class, we went outside to the courtyard to take pictures of flowers.', 'It was really fun.', 'I had a great day!']","{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.06, 'Fear': 0.44}","[{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.67}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}]"
6,2011-08-23,"I went to Toronto a few days ago. We drove through Michigan and Indiana. When we got to Gary, I sang my song. We ate at a place called “Host” in Toronto and the food was really good. The Chef burned his finger so we had to wait a while for our food.","['I went to Toronto a few days ago.', 'We drove through Michigan and Indiana.', 'When we got to Gary, I sang my song.', 'We ate at a place called “Host” in Toronto and the food was really good.', 'The Chef burned his finger so we had to wait a while for our food.']","{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.44}","[{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}]"
7,2012-06-16,"Yesterday, I had summer school. In creative writing we wrote about the messiest room in the world. After writing, I had acting. We did the most stupid play ever. It was called “Stormy Weather”. All I got to say was “drip-drop”, “plink-plonk”,  “crash”, “swoosh”, and “rumble rumble”. After acting, I had computer class. We got to help the little kids in K-3rd and I got to see Mrs. Powell! I. Gave her a big hug and went to M.E.S.T.A. We got to fly big kites that we. Made with our partners. Mine and Olivia’s kite stayed up in the air for ten minutes! When I got home,  Aishani, Aria, Kanali, and I.  Had a water balloon fight. I made Kanali really wet! The neighbor who lives next door was. driving by when I sprayed a water balloon on Kanali, and she gave me a thumbs up and started to laugh. I had a really awesome day yesterday!","['Yesterday, I had summer school.', 'In creative writing we wrote about the messiest room in the world.', 'After writing, I had acting.', 'We did the most stupid play ever.', 'It was called “Stormy Weather”.', 'All I got to say was “drip-drop”, “plink-plonk”,  “crash”, “swoosh”, and “rumble rumble”.', 'After acting, I had computer class.', 'We got to help the little kids in K-3rd and I got to see Mrs. Powell!', 'I.', 'Gave her a big hug and went to M.E.S.T.A.', 'We got to fly big kites that we.', 'Made with our partners.', 'Mine and Olivia’s kite stayed up in the air for ten minutes!', 'When I got home,  Aishani, Aria, Kanali, and I.', 'Had a water balloon fight.', 'I made Kanali really wet!', 'The neighbor who lives next door was.', 'driving by when I sprayed a water balloon on Kanali, and she gave me a thumbs up and started to laugh.', 'I had a really awesome day yesterday!']","{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.3, 'Sad': 0.26, 'Fear': 0.26}","[{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.0}]"
8,2012-06-18,"Today in writing. We wrote about who you would meet if you could meet a famous person. I wrote that I wanted to meet the actress Elizabeth Banks because I loved her in the Hunger Games! In acting we are doing the play “Little Red Riding Hood” but from the Wolf’s perspective. In the play,  I am the narrator and the wolf’s mother. I had a good day!","['Today in writing.', 'We wrote about who you would meet if you could meet a famous person.', 'I wrote that I wanted to meet the actress Elizabeth Banks because I loved her in the Hunger Games!', 'In acting we are doing the play “Little Red Riding Hood” but from the Wolf’s perspective.', 'In the play,  I am the narrator and the wolf’s mother.', 'I had a good day!']","{'Happy': 0.38, 'Angry': 0.12, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}","[{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}]"
9,2012-07-18,"My cousins left today.  I really miss them! Yesterday, Rohak threw a board at my face and my nose started to bleed a lot. My lip and my nose got cut pretty badly. I lost about 4 cups of blood. I still miss them though!","['My cousins left today.', 'I really miss them!', 'Yesterday, Rohak threw a board at my face and my nose started to bleed a lot.', 'My lip and my nose got cut pretty badly.', 'I lost about 4 cups of blood.', 'I still miss them though!']","{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.11, 'Sad': 0.67, 'Fear': 0.0}","[{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.33, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}]"
